Name,Elevation,POINT_X,POINT_Y
NWFA1,22.144518,-73.894545,40.905491
NWFA3,25.451042,-73.894465,40.905702
NWFA5,25.745491,-73.894424,40.90587
NWFA7,25.917601,-73.89435,40.906086
NWFA9,27.294504,-73.894312,40.906254
NWFB1,37.549583,-73.892564,40.906349
NWFB3,37.961746,-73.892553,40.906228
NWFB5,40.444553,-73.892503,40.905984
NWFB7,40.369717,-73.892432,40.905794
NWFB9,42.826073,-73.892296,40.905674
NWFC9,45.795273,-73.891396,40.904213
NWFC7,45.495876,-73.891311,40.904062
NWFC5,42.739491,-73.891291,40.903873
NWFC3,39.860798,-73.891333,40.903683
NWFC1,37.797569,-73.891303,40.903522
VHA1,7.089073,-73.891589,40.895387
VHA3,5.402817,-73.891388,40.895476
VHA5,5.576679,-73.891547,40.895507
VHA7,6.154006,-73.891455,40.895686
VHA9,7.017054,-73.891429,40.895859
VHB1,5.498845,-73.891303,40.896087
VHB3,7.624747,-73.891256,40.896262
VHB5,10.135593,-73.891173,40.896408
VHB7,11.996019,-73.891045,40.896586
VHB9,11.607006,-73.890904,40.896734
VHC1,11.528273,-73.891269,40.896741
VHC3,12.781647,-73.891184,40.896913
VHC5,13.787548,-73.891099,40.897089
VHC7,14.534115,-73.890996,40.897259
VHC9,14.715578,-73.890973,40.897407
TBA1,1.056175,-73.886644,40.901222
TBA3,1.888513,-73.88667,40.901364
TBA5,3.013343,-73.886638,40.901521
TBA7,1.54409,-73.88655,40.901681
TBA9,2.302435,-73.886467,40.901816
TBB1,2.386322,-73.886286,40.902145
TBB3,2.100748,-73.886258,40.902271
TBB5,3.890693,-73.88622,40.902508
TBB7,3.068317,-73.886158,40.90266
TBB9,3.801736,-73.886086,40.902806
TBC1,4.946104,-73.885978,40.90312
TBC3,6.315057,-73.885967,40.903358
TBC5,4.622405,-73.885859,40.903512
TBC7,3.387571,-73.88582,40.903687
TBC9,3.482205,-73.885736,40.903872
CWA1,12.743863,-73.883519,40.906123
CWA3,13.777211,-73.883565,40.905898
CWA5,14.526007,-73.883432,40.905674
CWA7,13.880439,-73.883437,40.905555
CWA9,15.126163,-73.883374,40.905338
CWB1,41.648193,-73.882187,40.903315
CWB3,41.917564,-73.882187,40.903116
CWB5,43.219715,-73.882192,40.902934
CWB7,43.293289,-73.882179,40.902772
CWB9,43.50967,-73.882205,40.902592
CWC1,49.032639,-73.882407,40.897644
CWC3,49.06551,-73.882501,40.897787
CWC5,48.578018,-73.882515,40.898069
CWC7,48.65984,-73.882595,40.898174
CWC9,48.786236,-73.88264,40.898347
