region,transect,plot,sample,site,soil_type,Na,Mg,Al,Si,S,K,Ca,Ba,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn
cw,cwa,cwa1,vc_cw_a1,VHA1,CHRD,1230.23149,10699.08241,3.463924707,188521.818,7382.39644,11380.04251,7495.0006,1146.76329,5225.26622,143.9178793,54.25785178,1996.84373,27462.23157,24.47737186,48.39718867,133.514575,261.7508804
cw,cwa,cwa1,vc_cw_a1_1,VHA1,CHRD,1409.47327,10864.64832,3.5280129,173269.7009,7548.10794,12149.21485,7350.0198,1388.289705,5260.59042,152.3903709,49.79711832,2560.680494,31847.77932,27.72069537,52.53737749,152.9584055,287.867172
cw,cwa,cwa1,vc_cw_a1_2,VHA1,CHRD,964.93199,11926.93278,3.365048558,169313.2071,7563.18795,11908.7515,6817.44483,1268.88788,4902.62612,133.6146826,52.25079704,2094.959636,28868.35971,24.93742964,51.19112946,111.9995203,280.1211129
cw,cwa,cwa3,vc_cw_a3,VHA3,CHRD,1119.7458,11674.71391,3.212820496,167315.2607,7481.3471,10273.69214,7609.74943,1320.796456,4345.54723,110.0035319,37.13857087,2979.338823,24664.97199,24.39439047,41.79061401,118.6295192,306.4306624
cw,cwa,cwa3,vc_cw_a3_1,VHA3,CHRD,757.9817,11837.40847,3.859234272,182608.0333,7635.1986,12299.61581,9155.32943,1385.083432,5799.2762,204.2456626,29.19711466,5047.3591,32326.53132,29.33381861,76.93118698,200.60174,359.3286489
cw,cwa,cwa3,vc_cw_a3_2,VHA3,CHRD,1371.52236,10715.46395,3.39893668,179050.2477,7475.30692,11346.31096,8195.8899,1142.20212,5077.97387,156.124844,36.07914485,3648.093127,26155.4395,25.59180724,51.34280639,137.5465925,322.9133336
cw,cwa,cwa5,vc_cw_a5,VHA5,CHRD,591.8968,13860.10512,2.780349623,145760.9142,7280.60082,9944.37665,4359.11562,820.0842678,3995.1502,66.98200693,42.59831031,681.4736057,26121.96174,24.54724449,34.18238988,35.85251288,241.1921914
cw,cwa,cwa5,vc_cw_a5_1,VHA5,CHRD,784.3439,12486.46674,3.362161091,167125.0239,7380.73076,11318.92237,5514.9641,1271.251171,5047.18886,100.0548678,51.40080649,1329.029552,32177.82693,28.66800571,48.55671765,96.02350179,290.3825788
cw,cwa,cwa5,vc_cw_a5_2,VHA5,CHRD,1001.53281,11921.40654,3.074788826,169667.7957,7364.68833,11391.71937,5033.17467,1082.951898,4797.16941,75.67956989,48.87925208,746.0085802,29229.10706,25.91820653,38.18757533,67.26153208,252.694394
cw,cwa,cwa7,vc_cw_a7,VHA7,CHRD,1364.51668,10434.72364,3.489529915,187478.2556,7429.74298,11977.55827,8719.01147,1569.979522,5719.63501,149.2276785,61.19178095,1677.908573,35548.04091,28.48175113,64.53623366,125.0928167,352.7781022
